-18.45237, 11.02390, 2.02313, 88.999, -0.110, -84.091, 0.99454, 0.10290, -0.01748
-18.42994, 11.02474, 2.02373, 89.065, -0.132, -83.975, 0.99435, 0.10492, -0.01632
-18.40450, 11.02570, 2.02433, 89.118, -0.164, -83.932, 0.99428, 0.10565, -0.01540
-18.37506, 11.02681, 2.02494, 89.159, -0.205, -83.942, 0.99431, 0.10547, -0.01468
-18.34218, 11.02806, 2.02556, 89.197, -0.255, -83.966, 0.99437, 0.10505, -0.01401
-18.31037, 11.02926, 2.02617, 89.218, -0.309, -83.984, 0.99441, 0.10472, -0.01365
-18.28253, 11.03030, 2.02676, 89.214, -0.366, -83.987, 0.99441, 0.10466, -0.01372
-18.25769, 11.03121, 2.02732, 89.166, -0.427, -83.985, 0.99440, 0.10466, -0.01455
-18.23470, 11.03204, 2.02787, 89.104, -0.491, -83.980, 0.99438, 0.10473, -0.01564
-18.21130, 11.03290, 2.02842, 89.079, -0.553, -83.970, 0.99435, 0.10488, -0.01608
-18.18816, 11.03378, 2.02898, 89.108, -0.613, -83.948, 0.99432, 0.10525, -0.01556
-18.16569, 11.03467, 2.02954, 89.180, -0.673, -83.905, 0.99426, 0.10600, -0.01431
-18.14098, 11.03560, 2.03009, 89.236, -0.730, -83.843, 0.99416, 0.10707, -0.01334
-18.11255, 11.03663, 2.03063, 89.242, -0.783, -83.774, 0.99403, 0.10826, -0.01323
-18.07948, 11.03777, 2.03115, 89.230, -0.836, -83.684, 0.99386, 0.10981, -0.01343
-18.04492, 11.03895, 2.03165, 89.207, -0.883, -83.586, 0.99367, 0.11149, -0.01383
-18.01390, 11.04000, 2.03211, 89.180, -0.918, -83.507, 0.99351, 0.11285, -0.01431
-17.98693, 11.04091, 2.03252, 89.142, -0.944, -83.447, 0.99338, 0.11386, -0.01497
-17.96288, 11.04171, 2.03290, 89.093, -0.959, -83.403, 0.99328, 0.11461, -0.01583
-17.93975, 11.04249, 2.03326, 89.060, -0.964, -83.363, 0.99320, 0.11528, -0.01640
