71,80
86,80
81,90
83,80
90,90
92,50
68,70
4,50
74,30
42,80
72,80
78,60
56,90
43,60
80,80
98,50
13,50
23,60
37,70
34,50
99,70
31,30
22,80
67,90
45,90
7,60
44,80
88,50
96,60
48,70
18,80
66,70
57,90
54,90
100,90
97,80
69,60
76,80
40,70
52,80
77,90
108,70
12,90
46,80
35,80
50,90
49,70
27,60
101,80
61,70
19,70
29,60
21,80
6,90
75,50
85,80
47,60
38,70
9,90
5,100
93,70
109,60
28,60
24,90
82,60
53,80
62,70
3,70
36,70
70,100
32,80
17,80
1,70
65,70
64,70
58,80
26,80
103,80
30,50
15,90
59,60
16,70
63,80
41,90
14,100
89,70
94,80
104,90
102,80
60,100
2,80
55,70
110,80
11,80
107,90
91,90
84,90
73,90
8,60
25,100
51,50
10,80
20,80
33,80
105,80
39,60
79,70
95,80
106,80
87,100
