67,85
72,70
89,45
96,40
100,55
52,30
108,45
53,80
79,60
94,50
8,45
61,25
24,80
50,85
15,90
75,30
93,45
57,90
51,55
6,95
14,75
34,60
32,55
1,60
5,80
73,85
42,60
40,35
18,50
21,75
46,55
44,40
31,30
69,25
35,85
13,45
109,30
20,80
2,30
86,25
101,35
68,55
66,15
49,45
90,80
62,65
36,35
29,15
87,65
97,90
85,40
10,30
23,15
33,40
9,75
104,65
3,40
65,25
92,15
25,80
77,60
78,25
41,95
63,30
28,25
58,35
22,45
74,20
64,15
60,80
30,60
4,55
54,90
71,35
43,45
59,55
12,85
95,70
16,35
70,100
105,50
84,45
76,65
99,25
7,15
103,20
91,25
48,45
88,20
80,65
47,35
11,50
56,75
37,35
98,15
83,80
39,25
110,55
26,30
45,75
27,25
81,80
55,40
38,30
82,25
107,40
17,85
102,55
19,60
106,30
