56,100
28,90
106,100
30,98
60,100
40,95
51,85
68,100
84,100
29,85
22,85
49,100
16,90
34,100
100,100
48,100
89,95
46,100
58,100
24,100
88,95
93,95
19,80
101,100
15,100
2,100
17,100
92,75
102,90
18,100
33,100
57,100
108,95
53,100
5,100
21,95
12,100
4,85
91,90
10,85
95,95
59,95
38,100
37,90
70,100
104,90
3,75
76,65
64,55
54,100
9,95
44,90
47,70
94,75
71,65
107,100
86,100
78,90
85,85
80,100
109,95
8,90
67,80
87,100
7,85
31,85
97,100
1,85
14,90
45,95
99,80
20,95
65,80
105,80
50,100
6,100
82,75
96,85
98,70
25,100
36,90
27,90
23,95
110,90
69,80
73,85
62,80
83,90
74,90
90,100
41,100
11,90
66,90
63,80
55,80
77,80
42,70
81,85
32,65
35,100
103,75
13,80
61,70
26,85
52,75
72,80
79,65
39,60
75,80
43,70
